time,Vel
34.7,2.369312
34.8,2.32460799999999
34.9,2.2352
35,2.190496
35.1,2.101088
35.2,2.056384
35.3,2.01167999999999
35.4,1.922272
35.5,1.877568
35.6,1.78816
35.7,1.743456
35.8,1.654048
35.9,1.609344
36,1.519936
36.1,1.475232
36.2,1.385824
36.3,1.34112
36.4,1.296416
36.5,1.251712
36.6,1.207008
36.7,1.162304
36.8,1.1176
36.9,1.072896
37,1.028192
37.1,0.983488
37.2,0.938784
37.3,0.894079999999997
37.4,0.849376
37.5,0.804672
37.6,0.759968
37.7,0.715264
37.8,0.625855999999997
37.9,0.581152
38,0.536448
38.1,0.491744
38.2,0.44704
38.3,0.402335999999997
38.4,0.357631999999997
38.5,0.312928
38.6,0.268224
38.7,0.22352
38.8,0.178815999999997
38.9,0.134111999999997
39,0.089408
39.1,0.044704
39.2,0
39.3,0
39.4,0
39.5,0
39.6,0
39.7,0
39.8,0
39.9,0
40,0
40.1,0
40.2,0
40.3,0
40.4,0
40.5,0
40.6,0
40.7,0
40.8,0
40.9,0
41,0
41.1,0
41.2,0
41.3,0
41.4,0
41.5,0
41.6,0
41.7,0
41.8,0
41.9,0
42,0
42.1,0
42.2,0
42.3,0
42.4,0
42.5,0
42.6,0
42.7,0
42.8,0
42.9,0
43,0
43.1,0
43.2,0
43.3,0
43.4,0
43.5,0
43.6,0
43.7,0
43.8,0
43.9,0
44,0
44.1,0
44.2,0
44.3,0
44.4,0
44.5,0
44.6,0
44.7,0
44.8,0
44.9,0
45,0
45.1,0
45.2,0
45.3,0
45.4,0
45.5,0
45.6,0
45.7,0
45.8,0
45.9,0
46,0
46.1,0
46.2,0
46.3,0
46.4,0
46.5,0
46.6,0
46.7,0
46.8,0
46.9,0
47,0
47.1,0
47.2,0
47.3,0
47.4,0
47.5,0
47.6,0
47.7,0
47.8,0
47.9,0
48,0
48.1,0
48.2,0
48.3,0
48.4,0
48.5,0
48.6,0
48.7,0
48.8,0
48.9,0
49,0
49.1,0
49.2,0
49.3,0
49.4,0
49.5,0
49.6,0
49.7,0
49.8,0
49.9,0
50,0
50.1,0
50.2,0
50.3,0
50.4,0
50.5,0
50.6,0
50.7,0
50.8,0
50.9,0
51,0
51.1,0
51.2,0
51.3,0
51.4,0
51.5,0
51.6,0
51.7,0
51.8,0
51.9,0
52,0
52.1,0
52.2,0
52.3,0
52.4,0
52.5,0
52.6,0
52.7,0
52.8,0
52.9,0
53,0
53.1,0
53.2,0
53.3,0
53.4,0
53.5,0
53.6,0
53.7,0
53.8,0
53.9,0
54,0
54.1,0
54.2,0
54.3,0
54.4,0
54.5,0
54.6,0
54.7,0
54.8,0
54.9,0
55,0
55.1,0
55.2,0
55.3,0
55.4,0
55.5,0
55.6,0
55.7,0
55.8,0
55.9,0
56,0
56.1,0
56.2,0
56.3,0
56.4,0
56.5,0
56.6,0
56.7,0
56.8,0
56.9,0
57,0
57.1,0
57.2,0
57.3,0
57.4,0
57.5,0
57.6,0
57.7,0
57.8,0
57.9,0
58,0
58.1,0
58.2,0
58.3,0
58.4,0
58.5,0
58.6,0
58.7,0
58.8,0
58.9,0
59,0
59.1,0
59.2,0.044704
59.3,0.0894080000000064
59.4,0.178816000000006
59.5,0.268224
59.6,0.357632
59.7,0.44704
59.8,0.491744000000006
59.9,0.581152000000006
60,0.67056
60.1,0.759968
60.2,0.849376
60.3,0.938784000000006
60.4,1.02819200000001
60.5,1.162304
60.6,1.251712
60.7,1.34112
60.8,1.47523200000001
60.9,1.56464000000001
61,1.654048
61.1,1.78816
61.2,1.877568
61.3,1.96697600000001
61.4,2.05638400000001
61.5,2.145792
61.6,2.2352
61.7,2.324608
61.8,2.41401600000001
61.9,2.503424
62,2.548128
62.1,2.637536
62.2,2.726944
62.3,2.816352
62.4,2.861056
62.5,2.90576
62.6,2.995168
62.7,3.039872
62.8,3.084576
62.9,3.12928000000001
63,3.218688
63.1,3.263392
63.2,3.308096
63.3,3.3528
63.4,3.3528
63.5,3.3528
63.6,3.3528
63.7,3.397504
63.8,3.397504
63.9,3.397504
64,3.442208
64.1,3.442208
64.2,3.442208
64.3,3.486912
64.4,3.486912
64.5,3.486912
64.6,3.531616
64.7,3.531616
64.8,3.57632
64.9,3.57632
65,3.57632
65.1,3.621024
65.2,3.621024
65.3,3.665728
65.4,3.710432
65.5,3.710432
65.6,3.75513600000001
65.7,3.79984
65.8,3.79984
65.9,3.844544
66,3.889248
66.1,3.933952
66.2,3.933952
66.3,3.978656
66.4,4.02336
66.5,4.068064
66.6,4.06806400000001
66.7,4.112768
66.8,4.157472
66.9,4.202176
67,4.24688
67.1,4.24688000000001
67.2,4.291584
67.3,4.380992
67.4,4.4704
67.5,4.515104
67.6,4.60451200000001
67.7,4.69392
67.8,4.783328
67.9,4.872736
68,4.91744
68.1,5.00684800000001
68.2,5.096256
68.3,5.096256
68.4,5.096256
68.5,5.096256
68.6,5.096256
68.7,5.096256
68.8,5.096256
68.9,5.096256
69,5.051552
69.1,5.051552
69.2,5.051552
69.3,5.096256
69.4,5.096256
69.5,5.096256
