time,Vel
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1.04166666666667
13,2.08333333333333
14,3.125
15,4.16666666666667
16,4.16666666666667
17,4.16666666666667
18,4.16666666666667
19,4.16666666666667
20,4.16666666666667
21,4.16666666666667
22,4.16666666666667
23,4.16666666666667
24,3.33333333333333
25,2.5
26,1.66666666666667
27,0.833333333333333
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0.694444444444444
51,1.38888888888889
52,2.08333333333333
53,2.77777777777778
54,3.47222222222222
55,4.16666666666667
56,4.9537037037037
57,5.74074074074074
58,6.52777777777778
59,7.31481481481481
60,8.10185185185185
61,8.88888888888889
62,8.88888888888889
63,8.88888888888889
64,8.88888888888889
65,8.88888888888889
66,8.88888888888889
67,8.88888888888889
68,8.88888888888889
69,8.88888888888889
70,8.88888888888889
71,8.88888888888889
72,8.88888888888889
73,8.88888888888889
74,8.88888888888889
75,8.88888888888889
76,8.88888888888889
77,8.88888888888889
78,8.88888888888889
79,8.88888888888889
80,8.88888888888889
81,8.88888888888889
82,8.88888888888889
83,8.88888888888889
84,8.88888888888889
85,8.88888888888889
86,8.08080808080808
87,7.27272727272727
88,6.46464646464647
89,5.65656565656566
90,4.84848484848485
91,4.04040404040404
92,3.23232323232323
93,2.42424242424242
94,1.61616161616162
95,0.808080808080808
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0.694444444444444
119,1.38888888888889
120,2.08333333333333
121,2.77777777777778
122,3.47222222222222
123,4.16666666666667
124,4.67171717171717
125,5.17676767676768
126,5.68181818181818
127,6.18686868686869
128,6.69191919191919
129,7.1969696969697
130,7.7020202020202
131,8.20707070707071
132,8.71212121212121
133,9.21717171717172
134,9.72222222222222
135,10.1851851851852
136,10.6481481481481
137,11.1111111111111
138,11.5740740740741
139,12.037037037037
140,12.5
141,12.962962962963
142,13.4259259259259
143,13.8888888888889
144,13.8888888888889
145,13.8888888888889
146,13.8888888888889
147,13.8888888888889
148,13.8888888888889
149,13.8888888888889
150,13.8888888888889
151,13.8888888888889
152,13.8888888888889
153,13.8888888888889
154,13.8888888888889
155,13.8888888888889
156,13.3680555555556
157,12.8472222222222
158,12.3263888888889
159,11.8055555555556
160,11.2847222222222
161,10.7638888888889
162,10.2430555555556
163,9.72222222222222
164,9.72222222222222
165,9.72222222222222
166,9.72222222222222
167,9.72222222222222
168,9.72222222222222
169,9.72222222222222
170,9.72222222222222
171,9.72222222222222
172,9.72222222222222
173,9.72222222222222
174,9.72222222222222
175,9.72222222222222
176,9.72222222222222
177,9.72222222222222
178,9.72222222222222
179,8.75
180,7.77777777777778
181,6.80555555555555
182,5.83333333333333
183,4.86111111111111
184,3.88888888888889
185,2.91666666666667
186,1.94444444444444
187,0.972222222222222
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,1.04166666666667
208,2.08333333333333
209,3.125
210,4.16666666666667
211,4.16666666666667
212,4.16666666666667
213,4.16666666666667
214,4.16666666666667
215,4.16666666666667
216,4.16666666666667
217,4.16666666666667
218,4.16666666666667
219,3.33333333333333
220,2.5
221,1.66666666666667
222,0.833333333333333
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0.694444444444444
246,1.38888888888889
247,2.08333333333333
248,2.77777777777778
249,3.47222222222222
250,4.16666666666667
251,4.9537037037037
252,5.74074074074074
253,6.52777777777778
254,7.31481481481481
255,8.10185185185185
256,8.88888888888889
257,8.88888888888889
258,8.88888888888889
259,8.88888888888889
260,8.88888888888889
261,8.88888888888889
262,8.88888888888889
263,8.88888888888889
264,8.88888888888889
265,8.88888888888889
266,8.88888888888889
267,8.88888888888889
268,8.88888888888889
269,8.88888888888889
270,8.88888888888889
271,8.88888888888889
272,8.88888888888889
